Date,Open,High,Low,Close,Volume
07/27/2023,340.48,341.33,329.05,330.72,"39,635,262"
07/26/2023,341.44,344.67,333.11,337.77,"58,383,699"
07/25/2023,347.11,351.89,345.07,350.98,"41,637,738"
07/24/2023,345.85,346.92,342.31,345.11,"26,719,211"
07/21/2023,349.15,350.3,339.83,343.77,"69,405,375"
07/20/2023,353.57,357.97,345.37,346.87,"33,778,398"
07/19/2023,361.75,362.46,352.44,355.08,"39,732,898"
07/18/2023,345.83,366.78,342.17,359.49,"64,872,711"
07/17/2023,345.68,346.99,342.2,345.73,"20,363,930"
07/14/2023,347.59,351.43,344.31,345.24,"28,352,730"
07/13/2023,339.56,343.74,339.02,342.66,"20,567,160"
7/12/2023,336.6,341.65,335.67,337.2,"29,995,260"
7/11/2023,331.06,332.86,327,332.47,"26,698,221"
7/10/2023,334.6,335.23,327.59,331.83,"32,791,449"
7/07/2023,339.32,341.79,337,337.22,"21,214,820"
7/06/2023,337.3,342.99,335.5,341.27,"28,195,529"
7/05/2023,335.09,341.65,334.73,338.15,"18,172,381"
7/03/2023,339.19,340.9,336.57,337.99,"12,484,240"
06/30/2023,337.75,342.73,337.2,340.54,"26,832,760"
06/29/2023,334.71,336.11,332.62,335.05,"16,997,039"
06/28/2023,334.66,337.98,333.81,335.85,"20,259,520"
06/27/2023,331.86,336.15,329.3,334.57,"24,354,109"
06/26/2023,333.72,336.11,328.49,328.6,"21,520,580"
06/23/2023,334.36,337.96,333.45,335.02,"23,146,900"
06/22/2023,334.12,340.12,333.34,339.71,"23,556,760"
06/21/2023,336.37,337.73,332.07,333.56,"25,117,801"
06/20/2023,339.31,342.08,335.86,338.05,"26,375,410"
06/16/2023,351.32,351.47,341.95,342.33,"46,551,992"
06/15/2023,337.48,349.84,337.2,348.1,"38,899,078"
06/14/2023,334.34,339.04,332.81,337.34,"26,003,789"
06/13/2023,334.47,336.98,330.39,334.29,"22,951,279"
6/12/2023,328.58,332.1,325.16,331.85,"24,306,750"
6/09/2023,324.99,329.99,324.41,326.79,"22,528,949"
6/08/2023,323.94,326.64,323.35,325.26,"23,277,711"
6/07/2023,331.65,334.49,322.5,323.38,"40,717,129"
6/06/2023,335.33,335.37,332.17,333.68,"20,396,221"
6/05/2023,335.22,338.56,334.66,335.94,"21,307,051"
6/02/2023,334.25,337.5,332.55,335.4,"25,873,770"
6/01/2023,325.93,333.53,324.72,332.58,"26,773,850"
05/31/2023,332.29,335.94,327.33,328.39,"45,950,551"
05/30/2023,335.23,335.74,330.52,331.21,"29,503,070"
05/26/2023,324.02,333.4,323.88,332.89,"36,630,633"
05/25/2023,323.24,326.9,320,325.92,"43,301,738"
05/24/2023,314.73,316.5,312.61,313.85,"23,384,891"
05/23/2023,320.03,322.72,315.25,315.26,"30,797,170"
05/22/2023,318.6,322.59,318.01,321.18,"24,115,660"
05/19/2023,316.74,318.75,316.37,318.34,"27,546,699"
05/18/2023,314.53,319.04,313.72,318.52,"27,275,990"
05/17/2023,312.29,314.43,310.74,314,"24,315,010"
05/16/2023,309.83,313.71,309.83,311.74,"26,730,350"
05/15/2023,309.1,309.91,307.59,309.46,"16,336,550"
5/12/2023,310.55,310.65,306.6,308.97,"19,774,699"
5/11/2023,310.1,311.12,306.26,310.11,"31,680,180"
5/10/2023,308.62,313,307.67,312.31,"30,078,039"
5/09/2023,308,310.04,306.31,307,"21,340,830"
5/08/2023,310.13,310.2,306.09,308.65,"21,318,609"
5/05/2023,305.72,311.97,304.27,310.65,"28,197,051"
5/04/2023,306.24,307.76,303.4,305.41,"22,519,910"
5/03/2023,306.62,308.61,304.09,304.4,"22,360,750"
5/02/2023,307.76,309.18,303.91,305.41,"26,404,430"
5/01/2023,306.97,308.6,305.15,305.56,"21,294,119"
04/28/2023,304.01,308.93,303.31,307.26,"36,469,609"
04/27/2023,295.97,305.2,295.25,304.83,"46,462,641"
04/26/2023,296.7,299.57,292.73,295.37,"64,599,180"
04/25/2023,279.51,281.6,275.37,275.42,"45,772,238"
04/24/2023,282.09,284.95,278.72,281.77,"26,611,010"
04/21/2023,285.01,286.27,283.06,285.76,"21,676,391"
04/20/2023,285.25,289.03,285.08,286.11,"23,244,359"
04/19/2023,285.99,289.05,284.54,288.45,"17,150,270"
04/18/2023,291.57,291.76,287.01,288.37,"20,161,850"
04/17/2023,289.93,291.6,286.16,288.8,"23,836,221"
04/14/2023,287,288.48,283.69,286.14,"20,987,920"
04/13/2023,283.59,289.9,283.17,289.84,"24,222,680"
4/12/2023,284.79,287.01,281.96,283.49,"27,403,430"
4/11/2023,285.75,285.98,281.64,282.83,"27,276,590"
4/10/2023,289.21,289.6,284.71,289.39,"23,102,990"
4/06/2023,283.21,292.08,282.03,291.6,"29,770,330"
4/05/2023,285.85,287.15,282.92,284.34,"22,064,770"
4/04/2023,287.23,290.45,285.67,287.18,"25,824,301"
4/03/2023,286.52,288.27,283.95,287.23,"24,883,340"
03/31/2023,283.73,289.27,283,288.3,"32,765,980"
03/30/2023,284.23,284.46,281.48,284.05,"25,053,410"
03/29/2023,278.96,281.14,278.41,280.51,"25,087,029"
03/28/2023,275.79,276.14,272.05,275.23,"21,878,650"
03/27/2023,280.5,281.46,275.52,276.38,"26,840,211"
03/24/2023,277.24,280.63,275.28,280.57,"28,199,961"
03/23/2023,277.94,281.06,275.2,277.66,"36,610,879"
03/22/2023,273.4,281.04,272.18,272.29,"34,873,328"
03/21/2023,274.88,275,269.52,273.78,"34,558,699"
03/20/2023,276.98,277.48,269.85,272.23,"43,466,648"
03/17/2023,278.26,283.33,276.32,279.43,"69,527,367"
03/16/2023,265.21,276.56,263.28,276.2,"54,832,141"
03/15/2023,259.98,266.48,259.21,265.44,"46,028,047"
03/14/2023,256.75,261.07,255.86,260.79,"33,620,289"
03/13/2023,247.4,257.91,245.73,253.92,"33,339,719"
3/10/2023,251.08,252.79,247.6,248.59,"28,333,930"
3/09/2023,255.82,259.56,251.58,252.32,"26,653,391"
3/08/2023,254.04,254.54,250.81,253.7,"17,340,221"
3/07/2023,256.3,257.69,253.39,254.15,"21,473,180"
3/06/2023,256.43,260.12,255.98,256.87,"24,109,850"
3/03/2023,252.19,255.62,251.39,255.29,"30,760,141"
3/02/2023,246.55,251.4,245.61,251.11,"24,833,650"
3/01/2023,250.76,250.93,245.79,246.27,"27,565,260"
02/28/2023,249.07,251.49,248.73,249.42,"22,490,949"
02/27/2023,252.46,252.82,249.39,250.16,"21,190,039"
02/24/2023,249.96,251,248.1,249.22,"24,990,910"
02/23/2023,255.56,256.84,250.48,254.77,"29,219,100"
02/22/2023,254.09,254.34,250.34,251.51,"22,491,061"
02/21/2023,254.48,255.49,251.59,252.67,"28,397,439"
02/17/2023,259.39,260.09,256,258.06,"30,000,061"
02/16/2023,264.02,266.74,261.9,262.15,"29,603,619"
02/15/2023,268.32,270.73,266.18,269.32,"28,962,160"
02/14/2023,272.67,274.97,269.28,272.17,"37,047,922"
02/13/2023,267.64,274.6,267.15,271.32,"44,630,922"
2/10/2023,261.53,264.09,260.66,263.1,"25,818,490"
2/09/2023,273.8,273.98,262.8,263.62,"42,375,102"
2/08/2023,273.2,276.76,266.21,266.73,"54,686,047"
2/07/2023,260.53,268.78,260.08,267.56,"50,841,367"
2/06/2023,257.44,258.3,254.78,256.77,"22,518,000"
2/03/2023,259.54,264.2,257.1,258.35,"29,077,260"
2/02/2023,258.82,264.69,257.25,264.6,"39,940,441"
2/01/2023,248,255.18,245.47,252.75,"31,259,910"
01/31/2023,243.45,247.95,242.95,247.81,"26,541,070"
01/30/2023,244.51,245.6,242.2,242.71,"25,867,369"
01/27/2023,248.99,249.83,246.83,248.16,"26,498,939"
01/26/2023,243.65,248.31,242,248,"33,454,488"
01/25/2023,234.48,243.3,230.9,240.61,"66,526,641"
01/24/2023,242.5,243.95,240.44,242.04,"40,234,441"
01/23/2023,241.1,245.17,239.65,242.58,"31,933,949"
01/20/2023,234.86,240.74,234.51,240.22,"35,389,809"
01/19/2023,233.78,235.52,230.68,231.93,"28,623,029"
01/18/2023,241.57,242.38,235.52,235.81,"30,028,689"
01/17/2023,237.97,240.91,237.09,240.35,"29,831,260"
01/13/2023,237,239.37,234.92,239.23,"21,333,270"
1/12/2023,235.26,239.9,233.56,238.51,"27,269,490"
1/11/2023,231.29,235.95,231.11,235.77,"28,669,330"
1/10/2023,227.76,231.31,227.33,228.85,"27,033,881"
1/09/2023,226.45,231.24,226.41,227.12,"27,369,779"
1/06/2023,223,225.76,219.35,224.93,"43,613,566"
1/05/2023,227.2,227.55,221.76,222.31,"39,585,621"
1/04/2023,232.28,232.87,225.96,229.1,"50,623,391"
1/03/2023,243.08,245.75,237.4,239.58,"25,740,039"
12/30/2022,238.21,239.96,236.66,239.82,"21,938,471"
12/29/2022,235.65,241.92,235.65,241.01,"19,770,689"
12/28/2022,236.89,239.72,234.17,234.53,"17,457,100"
12/27/2022,238.7,238.93,235.83,236.96,"16,688,650"
12/23/2022,236.11,238.87,233.94,238.73,"21,206,980"
12/22/2022,241.26,241.99,233.87,238.19,"28,651,660"
12/21/2022,241.69,245.62,240.11,244.43,"23,690,609"
12/20/2022,239.4,242.91,238.42,241.8,"25,150,801"
12/19/2022,244.86,245.21,238.71,240.45,"29,696,439"
12/16/2022,248.55,249.84,243.51,244.69,"86,101,992"
12/15/2022,253.72,254.2,247.34,249.01,"35,568,090"
12/14/2022,257.13,262.59,254.31,257.22,"35,410,930"
12/13/2022,261.69,263.92,253.07,256.92,"42,196,879"
12/12/2022,247.45,252.54,247.17,252.51,"30,665,070"
12/09/2022,244.7,248.31,244.16,245.42,"20,609,740"
12/08/2022,244.84,248.74,243.06,247.4,"22,611,760"
12/07/2022,244.83,246.16,242.21,244.37,"20,481,520"
12/06/2022,250.82,251.86,243.78,245.12,"22,463,730"
12/05/2022,252.01,253.82,248.06,250.2,"23,435,289"
12/02/2022,249.82,256.06,249.69,255.02,"21,528,520"
12/01/2022,253.87,256.12,250.92,254.69,"26,041,520"
11/30/2022,240.57,255.33,239.86,255.14,"47,594,238"
11/29/2022,241.4,242.79,238.21,240.33,"17,956,311"
